w,all_sample,one_sample1,one_sample2,50_sample,100_sampe
5.186,421.69625285,467.965705811,575.934420593,404.152561345,392.341806627
5.188,421.725436492,467.744018116,575.993947427,404.194076876,392.391949611
5.19,421.75491468,467.522710356,576.053649545,404.235869884,392.442383927
5.192,421.784687415,467.301782529,576.113526947,404.27794037,392.493109573
5.194,421.814754696,467.081234637,576.173579633,404.320288334,392.544126552
5.196,421.845116523,466.861066678,576.233807603,404.362913775,392.595434861
5.198,421.875772897,466.641278654,576.294210857,404.405816694,392.647034502
5.2,421.906723818,466.421870564,576.354789395,404.44899709,392.698925474
5.202,421.937969285,466.202842409,576.415543216,404.492454964,392.751107778
5.204,421.969509298,465.984194187,576.476472322,404.536190316,392.803581413
5.206,422.001343858,465.765925899,576.537576712,404.580203145,392.85634638
5.208,422.033472964,465.548037546,576.598856386,404.624493452,392.909402677
5.21,422.065896617,465.330529127,576.660311343,404.669061236,392.962750307
5.212,422.098614816,465.113400642,576.721941585,404.713906498,393.016389267
5.214,422.131627562,464.896652091,576.78374711,404.759029238,393.070319559
5.216,422.164934855,464.680283474,576.84572792,404.804429455,393.124541183
5.218,422.198536693,464.464294792,576.907884013,404.85010715,393.179054137
5.22,422.232433078,464.248686044,576.97021539,404.896062322,393.233858424
5.222,422.26662401,464.033457229,577.032722052,404.942294972,393.288954041
5.224,422.301109488,463.818608349,577.095403997,404.988805099,393.34434099
5.226,422.335889513,463.604139404,577.158261226,405.035592704,393.40001927
5.228,422.370964084,463.390050392,577.221293739,405.082657787,393.455988882
5.23,422.406333201,463.176341314,577.284501536,405.130000347,393.512249825
5.232,422.441996865,462.963012171,577.347884617,405.177620385,393.5688021
5.234,422.477955076,462.750062962,577.411442982,405.2255179,393.625645706
5.236,422.514207833,462.537493687,577.475176631,405.273692893,393.682780643
5.238,422.550755136,462.325304346,577.539085564,405.322145364,393.740206911
5.24,422.587596986,462.113494939,577.603169781,405.370875312,393.797924511
5.242,422.624733383,461.902065467,577.667429282,405.419882738,393.855933443
5.244,422.662164326,461.691015928,577.731864067,405.469167641,393.914233706
5.246,422.699889815,461.480346324,577.796474135,405.518730022,393.9728253
5.248,422.737909851,461.270056654,577.861259488,405.568569881,394.031708225
5.25,422.776224433,461.060146918,577.926220125,405.618687217,394.090882482
5.252,422.814833562,460.850617116,577.991356045,405.669082031,394.150348071
5.254,422.853737237,460.641467249,578.05666725,405.719754322,394.21010499
5.256,422.892935459,460.432697315,578.122153738,405.770704091,394.270153242
5.258,422.932428227,460.224307316,578.18781551,405.821931337,394.330492824
5.26,422.972215541,460.016297251,578.253652567,405.873436062,394.391123738
5.262,423.012297402,459.80866712,578.319664907,405.925218263,394.452045983
5.264,423.05267381,459.601416923,578.385852531,405.977277943,394.51325956
5.266,423.093344764,459.39454666,578.452215439,406.029615099,394.574764468
5.268,423.134310265,459.188056332,578.518753632,406.082229734,394.636560707
5.27,423.175570312,458.981945938,578.585467108,406.135121846,394.698648278
5.272,423.217124905,458.776215477,578.652355868,406.188291436,394.76102718
5.274,423.258974045,458.570864951,578.719419912,406.241738503,394.823697414
5.276,423.301117731,458.36589436,578.78665924,406.295463048,394.886658979
5.278,423.343555964,458.161303702,578.854073852,406.34946507,394.949911875
5.28,423.386288744,457.957092978,578.921663747,406.40374457,395.013456103
5.282,423.429316069,457.753262189,578.989428927,406.458301548,395.077291662
5.284,423.472637942,457.549811334,579.057369391,406.513136003,395.141418553
5.286,423.51625436,457.346740413,579.125485139,406.568247936,395.205836775
5.288,423.560165326,457.144049426,579.19377617,406.623637346,395.270546328
5.29,423.604370837,456.941738373,579.262242486,406.679304234,395.335547212
5.292,423.648870895,456.739807255,579.330884085,406.735248599,395.400839429
5.294,423.6936655,456.538256071,579.399700969,406.791470443,395.466422976
5.296,423.738754651,456.33708482,579.468693136,406.847969763,395.532297855
5.298,423.784138349,456.136293504,579.537860588,406.904746562,395.598464065
5.3,423.829816593,455.935882122,579.607203323,406.961800837,395.664921607
5.302,423.875789383,455.735850675,579.676721342,407.019132591,395.73167048
5.304,423.92205672,455.536199161,579.746414646,407.076741822,395.798710684
5.306,423.968618604,455.336927582,579.816283233,407.134628531,395.86604222
5.308,424.015475034,455.138035936,579.886327104,407.192792717,395.933665087
5.31,424.06262601,454.939524225,579.956546259,407.251234381,396.001579285
5.312,424.110071533,454.741392449,580.026940698,407.309953522,396.069784815
5.314,424.157811603,454.543640606,580.097510421,407.368950141,396.138281677
5.316,424.205846218,454.346268697,580.168255428,407.428224238,396.207069869
5.318,424.254175381,454.149276723,580.239175719,407.487775812,396.276149393
5.32,424.302799089,453.952664682,580.310271294,407.547604864,396.345520249
5.322,424.351717345,453.756432576,580.381542153,407.607711393,396.415182436
5.324,424.400930146,453.560580404,580.452988295,407.6680954,396.485135954
5.326,424.450437495,453.365108167,580.524609722,407.728756885,396.555380804
5.328,424.500239389,453.170015863,580.596406433,407.789695847,396.625916985
5.33,424.55033583,452.975303494,580.668378427,407.850912287,396.696744497
5.332,424.600726818,452.780971058,580.740525706,407.912406204,396.767863341
5.334,424.651412352,452.587018557,580.812848268,407.974177599,396.839273516
5.336,424.702392433,452.39344599,580.885346115,408.036226472,396.910975022
5.338,424.75366706,452.200253357,580.958019245,408.098552822,396.98296786
5.34,424.805236233,452.007440659,581.03086766,408.16115665,397.05525203
5.342,424.857099953,451.815007894,581.103891358,408.224037955,397.12782753
5.344,424.909258219,451.622955064,581.17709034,408.287196738,397.200694362
5.346,424.961711032,451.431282168,581.250464606,408.350632998,397.273852526
5.348,425.014458392,451.239989206,581.324014157,408.414346736,397.347302021
5.35,425.067500298,451.049076178,581.397738991,408.478337952,397.421042847
5.352,425.12083675,450.858543084,581.471639109,408.542606645,397.495075005
5.354,425.174467749,450.668389925,581.545714511,408.607152816,397.569398494
5.356,425.228393294,450.478616699,581.619965197,408.671976464,397.644013314
5.358,425.282613386,450.289223408,581.694391167,408.737077591,397.718919466
5.36,425.337128024,450.100210051,581.76899242,408.802456194,397.794116949
5.362,425.391937209,449.911576628,581.843768958,408.868112275,397.869605764
5.364,425.44704094,449.723323139,581.91872078,408.934045834,397.94538591
5.366,425.502439217,449.535449585,581.993847886,409.000256871,398.021457387
5.368,425.558132041,449.347955964,582.069150275,409.066745385,398.097820196
5.37,425.614119412,449.160842278,582.144627949,409.133511376,398.174474336
5.372,425.670401329,448.974108526,582.220280906,409.200554845,398.251419807
5.374,425.726977793,448.787754708,582.296109148,409.267875792,398.32865661
5.376,425.783848803,448.601780825,582.372112673,409.335474216,398.406184744
5.378,425.841014359,448.416186875,582.448291483,409.403350118,398.48400421
5.38,425.898474462,448.23097286,582.524645576,409.471503498,398.562115007
5.382,425.956229111,448.046138778,582.601174953,409.539934355,398.640517136
5.384,426.014278307,447.861684631,582.677879615,409.60864269,398.719210595
5.386,426.07262205,447.677610418,582.75475956,409.677628502,398.798195387
5.388,426.131260338,447.493916139,582.831814789,409.746891792,398.877471509
5.39,426.190193174,447.310601795,582.909045302,409.816432559,398.957038963
5.392,426.249420555,447.127667384,582.986451099,409.886250804,399.036897748
5.394,426.308942484,446.945112908,583.06403218,409.956346527,399.117047865
5.396,426.368758958,446.762938366,583.141788545,410.026719727,399.197489313
5.398,426.428869979,446.581143758,583.219720194,410.097370405,399.278222093
5.4,426.489275547,446.399729084,583.297827127,410.16829856,399.359246204
5.402,426.549975661,446.218694345,583.376109344,410.239504193,399.440561646
5.404,426.610970322,446.038039539,583.454566845,410.310987304,399.52216842
5.406,426.672259529,445.857764668,583.533199629,410.382747892,399.604066525
5.408,426.733843282,445.677869731,583.612007698,410.454785958,399.686255961
5.41,426.795721582,445.498354728,583.69099105,410.527101501,399.768736729
5.412,426.857894429,445.319219659,583.770149687,410.599694522,399.851508828
5.414,426.920361822,445.140464524,583.849483608,410.672565021,399.934572259
5.416,426.983123761,444.962089323,583.928992812,410.745712997,400.017927021
5.418,427.046180247,444.784094057,584.0086773,410.819138451,400.101573114
5.42,427.109531279,444.606478725,584.088537073,410.892841382,400.185510539
5.422,427.173176858,444.429243327,584.168572129,410.966821791,400.269739295
5.424,427.237116984,444.252387863,584.248782469,411.041079678,400.354259383
5.426,427.301351655,444.075912333,584.329168094,411.115615042,400.439070802
5.428,427.365880874,443.899816738,584.409729002,411.190427883,400.524173552
5.43,427.430704638,443.724101076,584.490465194,411.265518203,400.609567634
5.432,427.49582295,443.548765349,584.57137667,411.340886,400.695253047
5.434,427.561235807,443.373809556,584.65246343,411.416531274,400.781229791
5.436,427.626943211,443.199233697,584.733725474,411.492454026,400.867497867
5.438,427.692945162,443.025037772,584.815162802,411.568654256,400.954057274
5.44,427.759241659,442.851221782,584.896775414,411.645131963,401.040908013
